,title,release_year,vote_count,vote_average
29331,The Revengers,1972,5.0,6.2
29332,The Surrealist and His Naughty Hand,2013,0.0,0.0
29333,Sylvia,1965,0.0,0.0
29334,Voices of the Andes,2009,0.0,0.0
29335,"Exhausted: John C. Holmes, the Real Story",1981,3.0,7.0
29336,The Magnificent Dare Devil,1973,0.0,0.0
29337,Forbidden Photos of a Lady Above Suspicion,1970,9.0,7.2
29338,Death Walks on High Heels,1971,9.0,6.7
29339,Death Walks at Midnight,1972,8.0,6.4
29340,Badge 373,1973,2.0,5.5
29341,The Last Mile,1959,5.0,5.4
29342,Born Reckless,1958,1.0,1.0
29343,Frankenstein 1970,1958,7.0,4.3
29344,Shield for Murder,1954,10.0,7.0
29345,"September 30, 1955",1978,0.0,0.0
29346,"Number, Please?",1920,5.0,7.4
29347,Amelia Earhart: The Final Flight,1994,0.0,0.0
29348,Andy Hardy's Private Secretary,1941,2.0,5.5
29349,Final Voyage,2000,4.0,3.5
29350,First to Fight,1967,0.0,0.0
29351,Heathens and Thieves,2012,2.0,6.0
29352,King Lear,1983,1.0,7.0
29353,Man from Del Rio,1956,4.0,7.1
29354,Miranda,1985,15.0,5.3
29355,Muffin Top: A Love Story,2014,6.0,4.4
29356,Mutant Hunt,1987,5.0,3.9
29357,Born in Absurdistan,1999,4.0,5.6
29358,Nightmares,1980,3.0,5.0
29359,The Pasta Detectives,2014,16.0,6.2
29360,The Brave Bulls,1951,0.0,0.0
29361,The Duke Is Tops,1938,1.0,6.0
29362,About a Girl,2015,12.0,7.3
29363,The Maltese Bippy,1969,0.0,0.0
29364,Watchers II,1990,6.0,4.7
29365,The Outsider,1981,2.0,6.0
29366,The Outsider,2005,2.0,7.0
29367,The Strangler,1970,6.0,6.7
29368,The System,1953,4.0,4.1
29369,Vagabond Lady,1935,0.0,0.0
29370,Without a Trace,1983,7.0,5.4
29371,The Prince & Me: A Royal Honeymoon,2008,40.0,4.6
29372,Way Beyond Weight,2012,1.0,8.0
29373,Cheburashka,2010,1.0,7.0
29374,The Return of Count Yorga,1971,8.0,5.1
29375,"Like Father, Like Son",1965,0.0,0.0
29376,Edge of Sanity,1989,11.0,5.5
29377,Seve,2014,7.0,8.0
29378,Breathe,2014,156.0,7.2
29379,I Am Soldier,2014,27.0,5.1
29380,The Dead 2: India,2013,16.0,5.0
29381,Lorelei: The Witch of the Pacific Ocean,2005,4.0,5.0
29382,Holiday in the Sun,2001,35.0,5.1
29383,Postmortem,1998,5.0,5.5
29384,The Last Templar,2009,13.0,4.9
29385,Spiders,2013,39.0,3.9
29386,Syncopation,1942,0.0,0.0
29387,Survivor,2014,41.0,4.9
29388,NH10,2015,26.0,6.7
29389,Book of Blood,2009,59.0,5.3
29390,Patlabor 2: The Movie,1993,18.0,7.4
29391,Space Dogs 2,2014,3.0,4.2
29392,The Eternal Zero,2013,14.0,6.8
29393,Exaella,2011,2.0,5.3
29394,From Inside,2008,2.0,6.5
29395,Rommel,2012,10.0,5.9
29396,The President,1961,5.0,6.0
29397,Outcast,2014,140.0,4.5
29398,Aging Out,2004,0.0,0.0
29399,The Admiral: Roaring Currents,2014,62.0,7.0
29400,The Domino Principle,1977,6.0,5.0
29401,Zandy's Bride,1974,6.0,5.8
29402,Cisco Pike,1972,4.0,4.6
29403,Riot,1969,2.0,6.0
29404,Banning,1967,0.0,0.0
29405,To Find a Man,1972,1.0,5.0
29406,Tazza: The Hidden Card,2014,25.0,7.3
29407,Lady in White,1962,2.0,6.0
29408,The Lightship,1986,5.0,4.0
29409,The Stone Boy,1984,3.0,5.7
29410,Threshold,1981,5.0,6.6
29411,Géraldine,2000,0.0,0.0
29412,Laura's Star,2004,17.0,5.2
29413,The Marine 4: Moving Target,2015,49.0,5.8
29414,Babar: King of the Elephants,1999,7.0,6.1
29415,Da Sweet Blood of Jesus,2014,13.0,4.1
29416,The Longest Ride,2015,1083.0,7.3
29417,Man from Reno,2015,15.0,6.1
29418,Five Dances,2013,20.0,6.6
29419,Astral City: A Spiritual Journey,2010,21.0,6.7
29420,Sweet Sugar,1972,1.0,3.0
29421,Table For Five,1983,3.0,4.8
29422,Cannabis,1970,2.0,3.5
29423,Beyond the Reach,2014,138.0,5.5
29424,Nuntius,2014,0.0,0.0
29425,Atari: Game Over,2014,96.0,6.7
29426,Einstein,2015,2.0,7.5
29427,Broken Glass Park,2013,3.0,5.3
29428,Mörderische Erpressung,2006,0.0,0.0
29429,Girltrash: All Night Long,2014,13.0,6.4
29430,Lage Raho Munna Bhai,2006,45.0,7.6
29431,Monkey Kingdom,2015,48.0,6.4
29432,Beck 30 - Sjukhusmorden,2015,3.0,4.7
29433,Sword of Vengeance,2014,29.0,5.2
29434,Jersey Shore Shark Attack,2012,4.0,6.5
29435,Ship of Theseus,2012,14.0,7.4
29436,Obsession,1949,8.0,6.6
29437,Antarctica: A Year on Ice,2013,31.0,7.2
29438,The Dog Who Saved Christmas,2009,5.0,3.0
29439,Indebted,2013,0.0,0.0
29440,Darkness in Tallinn,1993,3.0,5.8
29441,The Age of Adaline,2015,2052.0,7.4
29442,Gutshot Straight,2014,17.0,3.2
29443,Lambert & Stamp,2015,4.0,7.8
29444,The Liberator,2013,28.0,6.4
29445,Lovesick,2014,34.0,4.7
29446,Return to Source: The Philosophy of The Matrix,2004,5.0,6.5
29447,Sinatra: All or Nothing at All,2015,14.0,7.1
29448,The Sheik,2014,6.0,7.5
29449,Danny Collins,2015,187.0,6.6
29450,I'm Afraid,1982,0.0,0.0
29451,Confessions of a Sociopathic Social Climber,2005,17.0,4.4
29452,Bad Hurt,2016,9.0,5.4
29453,"Hey, Boo: Harper Lee & To Kill a Mockingbird",2011,0.0,0.0
29454,Halo: Nightfall,2014,64.0,5.2
29455,I'm Not Jesus Mommy,2011,3.0,4.7
29456,Downstream,2010,10.0,3.5
29457,Eugenie,1970,15.0,3.7
29458,First Love,1970,2.0,6.0
29459,Finding Gastón,2014,0.0,0.0
29460,Night Call Nurses,1972,1.0,5.0
29461,The Black Cat,1981,17.0,5.7
29462,House of Clocks,1989,3.0,7.2
29463,The Sweet House of Horrors,1989,2.0,6.5
29464,Flicka 2,2010,20.0,6.1
29465,A Girl Like Her,2015,82.0,7.2
29466,Grandma,2015,143.0,6.1
29467,Mea Culpa,2014,58.0,6.0
29468,The Struggle,1931,4.0,5.0
29469,Winning Time: Reggie Miller vs. The New York Knicks,2010,8.0,8.2
29470,Straight Outta LA,2010,6.0,4.7
29471,Silly Little Game,2010,2.0,4.3
29472,Bad Boys,2014,4.0,9.5
29473,October November,2013,3.0,7.0
29474,The Unseeable,2006,10.0,6.8
29475,Scarfies,1999,5.0,5.8
29476,Comedy Central Roast of Justin Bieber,2015,52.0,7.0
29477,The Butterfly Tattoo,2009,0.0,0.0
29478,50 to 1,2014,19.0,5.7
29479,Mardock Scramble: The First Compression,2010,23.0,7.1
29480,The Even Stevens Movie,2003,46.0,5.6
29481,The Four Year Plan,2011,2.0,7.0
29482,In the Crosswind,2014,14.0,7.5
29483,Happy Valley,2014,17.0,6.2
29484,GMO OMG,2013,15.0,7.4
29485,A Royal Night Out,2015,84.0,6.3
29486,The Chain Reaction,1980,5.0,3.5
29487,Absolution,1978,8.0,6.9
29488,Kisaragi,2007,8.0,6.9
29489,I prosseneti,1976,0.0,0.0
29490,Barbecue,2014,217.0,5.8
29491,Malice@Doll,2004,3.0,4.7
29492,Portraits in a Sea of Lies,2010,1.0,7.0
29493,Dior and I,2015,50.0,7.3
29494,The Walking Deceased,2015,35.0,4.2
29495,Kite,2014,98.0,4.2
29496,Magic Beyond Words: The JK Rowling Story,2011,42.0,7.4
29497,The Hacker Wars,2014,8.0,4.9
29498,Peter Pan Live!,2014,9.0,4.8
29499,Pilot Error,2014,0.0,0.0
29500,Tinker Bell and the Legend of the NeverBeast,2014,270.0,7.0
29501,Tinker Bell and the Pirate Fairy,2014,286.0,6.5
29502,Radiostars,2012,58.0,5.6
29503,Our Brief Eternity,2009,0.0,0.0
29504,The Bet,1997,68.0,6.2
29505,Target Earth,1954,8.0,6.4
29506,An Act of War,2015,6.0,5.1
29507,The Velveteen Rabbit,2009,9.0,7.8
29508,Head Full of Honey,2014,118.0,7.5
29509,Pokémon: Mewtwo Returns,2000,73.0,6.1
29510,Mother's Day,2010,126.0,6.3
29511,Su excelencia,1967,1.0,6.5
29512,Batman Unlimited: Animal Instincts,2015,54.0,5.5
29513,One More Time,2016,16.0,5.9
29514,Man Up,2015,395.0,6.5
29515,Devil's Bible,2008,2.0,4.5
29516,Scarecrow,1984,8.0,7.0
29517,21 Years: Richard Linklater,2014,8.0,6.3
29518,All I Want for Christmas,2007,8.0,5.8
29519,"Bomba, the Jungle Boy",1949,1.0,5.0
29520,Crossplot,1969,6.0,5.3
29521,Driving Me Crazy,1991,4.0,4.4
29522,Driving Me Crazy,1988,1.0,5.0
29523,Ever Since Eve,1937,4.0,3.6
29524,Falling From Grace,1992,3.0,5.3
29525,5 Steps to Danger,1957,4.0,5.8
29526,Kidnapped,1995,1.0,6.0
29527,Life Support,2007,2.0,3.5
29528,Superstition,1982,23.0,6.9
29529,Ten Thousand Bedrooms,1957,2.0,5.5
29530,The Castilian,1963,0.0,0.0
29531,The Ceremony,1963,2.0,4.8
29532,The Culling,2015,20.0,4.0
29533,The Hunt for Eagle One,2006,6.0,4.7
29534,The Hunt for Eagle One: Crash Point,2006,3.0,7.0
29535,The Naked Street,1955,3.0,6.0
29536,The Vagrant,1992,16.0,7.0
29537,The Wild Party,1929,2.0,7.0
29538,The Wild Party,1956,1.0,4.0
29539,Two on a Guillotine,1965,11.0,5.7
29540,The Seduction of Mimi,1972,13.0,6.5
29541,All Screwed Up,1974,1.0,0.0
29542,A Night Full of Rain,1978,2.0,5.0
29543,Blood Feud,1978,0.0,0.0
29544,Summer Night,1986,3.0,7.0
29545,Vanishing Pearls: The Oystermen of Pointe à la Hache,2014,0.0,0.0
29546,The Daring Dobermans,1973,4.0,6.0
29547,Funeral Kings,2012,12.0,5.9
29548,The Least of These,2011,1.0,8.0
29549,The Great Invisible,2014,5.0,5.6
29550,Sweet Home,2015,34.0,4.7
29551,San Andreas,2015,3017.0,6.0
29552,Regression,2015,600.0,5.3
29553,Welcome to Me,2014,140.0,5.7
29554,Escape by Night,1937,3.0,6.0
29555,Gang Bullets,1938,0.0,0.0
29556,The Sinner,1972,0.0,0.0
29557,Two Marines and a General,1966,4.0,4.3
29558,Sweden: Heaven and Hell,1968,3.0,8.3
29559,The Chase,1946,12.0,6.0
29560,The Body,1974,1.0,6.0
29561,Shoot to Kill,1947,4.0,4.0
29562,Mr. Robinson,1976,13.0,6.1
29563,Woman on the Run,1950,22.0,6.8
29564,Amore libero - Free Love,1974,1.0,4.0
29565,Port of New York,1949,9.0,4.4
29566,Gang Busters,1955,3.0,4.8
29567,Hearts and Armour,1983,3.0,5.3
29568,Gangster Story,1959,5.0,5.0
29569,Rose,2011,12.0,7.2
29570,The Impossible Hour,1974,0.0,0.0
29571,Stars and the Water Carriers,1974,0.0,0.0
29572,Testament of Youth,2014,259.0,7.2
29573,Comedy Central Roast of James Franco,2013,35.0,7.3
29574,Cenizas del Paraiso,1997,6.0,6.3
29575,Pelota,1983,0.0,0.0
29576,Terror Express,1980,2.0,4.5
29577,Half the Sky: Turning Oppression Into Opportunity for Women Worldwide,2012,0.0,0.0
29578,Girl Rising,2013,17.0,7.1
29579,"OC87: The Obsessive Compulsive, Major Depression, Bipolar, Asperger's Movie",2012,3.0,7.0
29580,The Man with the Iron Fists 2,2015,63.0,4.6
29581,Emmanuelle 3,1977,10.0,4.5
29582,Emmanuelle 4,1984,12.0,5.0
29583,Emmanuelle 5,1987,3.0,4.7
29584,Emmanuelle 6,1988,8.0,4.3
29585,Black Emanuelle,1975,11.0,4.2
29586,Emmanuelle in Bangkok,1976,7.0,4.4
29587,Emanuelle in America,1977,13.0,4.2
29588,Emmanuelle and the Last Cannibals,1977,14.0,4.8
29589,Emmanuelle Around the World,1977,8.0,5.9
29590,Caged Women,1982,7.0,4.0
29591,Provincia violenta,1978,2.0,4.0
29592,Crimebusters,1976,0.0,0.0
29593,Captive Wild Woman,1943,2.0,4.8
29594,Night Monster,1942,6.0,5.8
29595,Valerie Inside Outside,1972,0.0,0.0
29596,Doli Saja Ke Rakhna,1998,2.0,6.0
29597,Vaastav: The Reality,1999,8.0,7.6
29598,Sarfarosh,1999,21.0,7.2
29599,Awake: The Life of Yogananda,2014,8.0,6.7
29600,The Kill Team,2013,8.0,7.4
29601,Far from the Madding Crowd,2015,346.0,6.8
29602,Appropriate Behavior,2015,28.0,5.8
29603,Thursday Till Sunday,2012,5.0,7.0
29604,L,2012,5.0,4.2
29605,Magical Girl,2014,47.0,7.6
29606,Garrison Keillor: The Man on the Radio in the Red Shoes,2009,1.0,10.0
29607,Thunder and the House of Magic,2013,125.0,6.3
29608,A Company Man,2012,52.0,6.6
29609,Crowsnest,2012,12.0,4.8
29610,Kill 'em All,2012,12.0,5.3
29611,Frontera,2014,54.0,6.2
29612,No Tears for the Dead,2014,64.0,6.7
29613,Love Is the Perfect Crime,2013,27.0,5.1
29614,Dear Lemon Lima,2009,8.0,5.8
29615,Wrong Turn 6: Last Resort,2014,171.0,4.6
29616,Kriminal,1966,1.0,6.0
29617,The Spy Who Loved Flowers,1966,1.0,5.5
29618,008: Operation Exterminate,1965,0.0,0.0
29619,Temple of the White Elephant,1964,0.0,0.0
29620,Samson and the Slave Queen,1963,0.0,0.0
29621,Catherine of Russia,1963,2.0,4.0
29622,Black Demons,1991,3.0,3.7
29623,Hitcher in the Dark,1989,2.0,5.0
29624,Ghosthouse,1988,22.0,4.5
29625,Ironmaster,1983,7.0,3.8
29626,Brothers Till We Die,1978,9.0,6.9
29627,The Biggest Battle,1978,2.0,4.5
29628,"The Cynic, the Rat & the Fist",1977,7.0,7.0
29629,Free Hand for a Tough Cop,1976,3.0,7.7
29630,Violent Naples,1976,9.0,7.4
29631,"Rome, Armed to the Teeth",1976,9.0,7.3
29632,Syndicate Sadists,1975,6.0,5.8
29633,Manhunt in the City,1975,1.0,6.0
29634,Gang War in Milan,1973,4.0,5.3
29635,Knife of Ice,1972,7.0,5.9
29636,Man from Deep River,1972,17.0,5.7
29637,Seven Blood-Stained Orchids,1972,10.0,6.3
29638,Oasis of Fear,1971,8.0,5.6
29639,A Quiet Place to Kill,1970,3.0,5.7
29640,Paranoia,1969,6.0,6.2
29641,A Gun for One Hundred Graves,1968,4.0,5.8
29642,"Ringo, It's Massacre Time",1970,0.0,0.0
29643,Let's Go And Kill Sartana,1971,0.0,0.0
29644,Due Magnum .38 per una città di carogne,1975,0.0,0.0
29645,We Could Be King,2014,6.0,5.8
29646,Canopy,2013,7.0,4.4
29647,Raised by Wolves,2014,3.0,3.0
29648,Rites of Spring,2011,19.0,4.1
29649,Barbie as The Princess & the Pauper,2004,193.0,6.9
29650,Barbie: Fairytopia,2005,115.0,5.7
29651,Barbie of Swan Lake,2003,191.0,6.6
29652,Barbie in Princess Power,2015,25.0,5.5
29653,Barbie Diaries,2005,83.0,5.5
29654,Barbie: Princess Charm School,2011,97.0,6.4
29655,Barbie and the Secret Door,2014,36.0,6.0
29656,Barbie: A Fairy Secret,2011,65.0,5.4
29657,Barbie in the 12 Dancing Princesses,2006,135.0,6.9
29658,Barbie: The Princess & The Popstar,2012,57.0,6.0
29659,Barbie and the Diamond Castle,2008,83.0,6.6
29660,Barbie in A Mermaid Tale,2010,89.0,6.2
29661,Barbie as the Island Princess,2007,96.0,6.3
29662,Barbie in A Mermaid Tale 2,2012,49.0,6.0
29663,Barbie and the Three Musketeers,2009,81.0,6.2
29664,Barbie in the Pink Shoes,2013,51.0,5.3
29665,Barbie in 'A Christmas Carol',2008,71.0,6.5
29666,Barbie: The Pearl Princess,2013,43.0,6.0
29667,Barbie: Mariposa and The Fairy Princess,2013,43.0,6.3
29668,Barbie Presents: Thumbelina,2009,68.0,5.5
29669,Barbie Fairytopia: Magic of the Rainbow,2007,53.0,6.2
29670,Barbie Fairytopia: Mermaidia,2006,95.0,6.2
29671,Barbie as Rapunzel,2002,182.0,6.4
29672,Barbie and the Magic of Pegasus 3-D,2005,100.0,6.2
29673,Barbie & Her Sisters in A Pony Tale,2013,24.0,6.2
29674,Barbie Mariposa and Her Butterfly Fairy Friends,2008,67.0,5.6
29675,Barbie and the Rockers: Out Of This World,1987,5.0,3.6
29676,Der var engang,1966,3.0,6.0
29677,The Key to Paradise,1970,4.0,5.8
29678,Summer in Tyrol,1964,4.0,7.1
29679,The Bélier Family,2014,789.0,7.0
29680,Green Sails,2000,0.0,0.0
29681,Hitman: Agent 47,2015,1183.0,5.5
29682,How Sherlock Changed the World,2013,0.0,0.0
29683,Working Girls,1986,3.0,3.7
29684,Doug Stanhope: Before Turning the Gun on Himself,2012,2.0,8.0
29685,Doug Stanhope: Oslo - Burning the Bridge to Nowhere,2011,6.0,6.1
29686,Doug Stanhope: Beer Hall Putsch,2013,5.0,8.4
29687,Chelsea Peretti: One of the Greats,2014,36.0,6.7
29688,Listening to You: The Who Live at the Isle of Wight,1998,2.0,4.8
29689,The Comedians of Comedy: Live at The Troubadour,2007,7.0,6.6
29690,B/W,2015,6.0,5.2
29691,Tinker Bell and the Great Fairy Rescue,2010,225.0,6.3
29692,The Man Who Skied Down Everest,1975,3.0,5.0
29693,One Eyed Girl,2014,11.0,5.0
29694,Island of Lemurs: Madagascar,2014,8.0,4.3
29695,Billy the Kid,1930,1.0,0.0
29696,Court,2015,10.0,6.6
29697,The Secret Lives of Dorks,2013,9.0,4.8
29698,Run & Jump,2014,13.0,6.7
29699,A Fighting Man,2014,16.0,5.2
29700,The Last Sentence,2012,5.0,5.3
29701,When Comedy Went to School,2013,1.0,6.5
29702,Jimmy P.,2013,30.0,6.0
29703,Call + Response,2008,1.0,8.0
29704,Regret,2013,37.0,7.6
29705,Yasmin,2004,2.0,7.5
29706,Bluebird,2014,10.0,6.3
29707,Charlie Bubbles,1967,3.0,6.7
29708,One Little Pill,2014,1.0,9.0
29709,Bukowski: The Last Straw,1980,1.0,2.0
29710,The Dead Lands,2014,38.0,6.1
29711,Two Raging Grannies,2013,1.0,6.0
29712,Ricki and the Flash,2015,273.0,5.6
29713,Blackout,2010,1.0,5.5
29714,Back Issues: The Hustler Magazine Story,2014,4.0,7.5
29715,Kissinger,2011,1.0,7.0
29716,100 Degrees Below Zero,2013,23.0,3.6
29717,Pump,2014,5.0,7.8
29718,Variety,1983,4.0,5.0
29719,Cocaine Cowboys: Reloaded,2014,9.0,7.3
29720,Genius on Hold,2013,3.0,6.7
29721,Tar Creek,2009,1.0,9.0
29722,The Water Front,2007,0.0,0.0
29723,Jedi Junkies,2010,3.0,6.3
29724,Breeders,1997,7.0,4.1
29725,Time Zero: The Last Year of Polaroid Film,2012,2.0,7.3
29726,Warriors Two,1978,7.0,7.6
29727,The 'Socalled' Movie,2010,1.0,5.0
29728,Hank: 5 Years from the Brink,2013,0.0,0.0
29729,We’re Not Broke,2012,2.0,6.0
29730,Sushi: The Global Catch,2012,6.0,5.5
29731,Resistance,2015,5.0,7.2
29732,Exile Nation: The Plastic People,2014,1.0,8.0
29733,The Fruit Hunters,2012,5.0,7.1
29734,Ethos,2011,4.0,7.1
29735,Linda and Abilene,1969,6.0,3.5
29736,Radio Unnameable,2012,2.0,8.5
29737,Germ,2013,11.0,3.3
29738,DamNation,2014,3.0,6.7
29739,Lifted,2010,13.0,6.9
29740,Backdoor,2000,4.0,7.5
29741,1915,2015,1.0,6.0
29742,The Workshop,2007,4.0,4.4
29743,The Mad Monster,1942,8.0,2.5
29744,Ride,2014,55.0,6.0
29745,The Eichmann Show,2015,61.0,6.3
29746,A Trick of the Light,1995,5.0,5.1
29747,Lightning Over Water,1980,2.0,5.5
29748,Notebooks on Cities and Clothes,1989,2.0,6.5
29749,The Seven Five,2014,26.0,7.8
29750,The Golden Calf,1968,9.0,7.6
29751,Partisan,2015,39.0,6.2
29752,LFO,2013,8.0,6.9
29753,Sincere Heart,1953,1.0,5.0
29754,Christopher and His Kind,2011,26.0,6.7
29755,The Sicilian Connection,1972,0.0,0.0
29756,Hush,2012,1.0,6.5
29757,Infini,2015,157.0,5.1
29758,Dark Space,2013,13.0,4.5
29759,Harry Dean Stanton: Partly Fiction,2012,14.0,6.7
29760,Shrew's Nest,2014,100.0,6.6
29761,Shuffle,2012,14.0,6.4
29762,August Winds,2014,3.0,6.0
29763,Piku,2015,44.0,6.8
29764,Babysitter's Black Book,2015,31.0,5.9
29765,"Tommy Cooper: Not Like That, Like This",2014,4.0,7.6
29766,Macondo,2014,1.0,5.0
29767,Down and Dangerous,2014,9.0,4.3
29768,German Angst,2015,11.0,5.9
29769,Black Angel,1980,7.0,7.1
29770,Dirty Business,2009,0.0,0.0
29771,Barnum!,1986,1.0,7.0
29772,High Road,2012,22.0,5.8
29773,Alexia,2013,4.0,5.3
29774,Reunion,2015,8.0,6.9
29775,Pitch Perfect 2,2015,1997.0,6.8
29776,The Gospel According to Philip K. Dick,2001,2.0,2.5
29777,Le viager,1972,13.0,6.9
29778,Get Mean,1976,2.0,4.0
29779,Class Enemy,2013,16.0,6.6
29780,Farmland,2014,0.0,0.0
29781,Tricked: The Documentary,2013,15.0,6.2
29782,Mutant World,2014,9.0,2.6
29783,Duel of Champions,1961,0.0,0.0
29784,Crazy Westerners,1967,1.0,5.0
29785,"Django, Prepare a Coffin",1968,22.0,6.0
29786,Forgotten Pistolero,1969,8.0,5.4
29787,Ten Zan - Ultimate Mission,1988,2.0,5.5
29788,The Prince and the Pauper,2000,3.0,5.3
29789,Erotic Games in the Third Galaxy,1981,3.0,3.0
29790,Supermen Against the Orient,1973,0.0,0.0
29791,Human Cobras,1971,0.0,0.0
29792,Three Supermen in the Jungle,1970,0.0,0.0
29793,I guappi non si toccano,1979,0.0,0.0
29794,September Vacation,1979,5.0,5.7
29795,Everything for Sale,1969,7.0,5.8
29796,Echo Planet,2012,6.0,5.7
29797,Love Hotel,2014,1.0,7.0
29798,How to Commit Marriage,1969,0.0,0.0
29799,The Trap,1959,4.0,7.3
29800,That Certain Feeling,1956,2.0,6.3
29801,The Man Called Noon,1973,1.0,5.0
29802,Innocent Bystanders,1972,2.0,7.0
29803,The Long Day's Dying,1968,4.0,7.3
29804,A Buddha,2005,4.0,7.3
29805,Two Hundred Thousand Dirty,2014,0.0,0.0
29806,Manos sucias,2014,5.0,7.0
29807,Just Before I Go,2014,122.0,6.3
29808,El bosque de Karadima,2015,5.0,6.4
29809,"Skatetown, U.S.A.",1979,2.0,6.5
29810,Winter People,1989,5.0,5.8
29811,Joshua Then and Now,1985,2.0,5.0
29812,Split Image,1982,3.0,6.7
29813,Two Gentlemen Sharing,1969,1.0,4.0
29814,Tiara Tahiti,1962,2.0,6.0
29815,Macbeth,2006,11.0,3.9
29816,Metal Skin,1994,1.0,3.0
29817,Specters,1987,3.0,4.8
29818,The Treasure,1923,0.0,0.0
29819,Do Detectives Think?,1927,1.0,6.0
29820,You're Darn Tootin',1928,5.0,5.5
29821,Addicted,2002,6.0,5.8
29822,Bad Hair,2013,17.0,6.9
29823,Bessie,2015,33.0,6.1
29824,The Little Chaos,1966,6.0,5.8
29825,Devil's Island,1996,1.0,5.0
29826,Here Is Your Life,1966,6.0,6.7
29827,Iverson,2014,30.0,7.2
29828,Milosc,2012,1.0,5.0
29829,The Murder Man,1935,1.0,6.5
29830,Nightingale,2015,18.0,6.1
29831,Rembrandt,1999,3.0,5.8
29832,The City Tramp,1966,5.0,5.4
29833,The Accused,1949,4.0,5.1
29834,The Coward,1915,2.0,4.5
29835,The Good Lie,2013,1.0,4.0
29836,The Iron Sheriff,1957,1.0,5.0
29837,The Life of Vergie Winters,1934,2.0,6.5
29838,The Lion Hunters,1951,0.0,0.0
29839,Tunisian Victory,1944,0.0,0.0
29840,The Stone Roses: Made of Stone,2013,15.0,5.9
29841,Carol,2015,1014.0,7.3
29842,Thought Crimes,2015,14.0,6.6
29843,Three Inches,2011,4.0,4.0
29844,El Medico: The Cubaton Story,2012,2.0,5.0
29845,Roald Dahl's Esio Trot,2015,42.0,7.0
29846,"Montevideo, God Bless You!",2010,19.0,8.1
29847,What a Drag,1996,28.0,5.5
29848,Angels Die Hard,1970,0.0,0.0
29849,Dear America: Letters Home from Vietnam,1987,4.0,6.8
29850,Code Black,2014,8.0,5.6
29851,The King of Arcades,2014,7.0,5.4
29852,Anonymous Rex,2004,8.0,4.4
29853,"Usain Bolt, La Légende",2012,5.0,6.2
29854,The American Scream,2012,8.0,7.1
29855,Pound of Flesh,2015,64.0,5.4
29856,Stripped,2014,6.0,7.0
29857,Accused,2014,30.0,6.6
29858,Ankhon Dekhi,2013,11.0,4.6
29859,Gulaal,2009,16.0,6.7
29860,Black Friday,2004,16.0,7.5
29861,Anthrax,2001,0.0,0.0
29862,Rough Cut,2008,23.0,6.7
29863,The Buttercream Gang,1992,4.0,5.8
29864,For Love or Money,2014,0.0,0.0
29865,Strangerland,2015,90.0,5.1
29866,Office Romance,1977,47.0,8.1
29867,The Backwater Gospel,2011,8.0,7.9
29868,Bootleggers,1962,20.0,7.6
29869,Garpastum,2005,2.0,1.0
29870,You Don't Choose Your Family,2011,48.0,5.8
29871,Persecuted,2014,10.0,5.2
29872,The Dorm,2014,9.0,4.7
29873,Susie's Hope,2013,0.0,0.0
29874,Sleepaway Camp III: Teenage Wasteland,1989,42.0,5.2
29875,After,2012,63.0,5.6
29876,The Hands,2006,1.0,5.0
29877,Betty Blowtorch: And Her Amazing True Life Adventures,2003,0.0,0.0
29878,Design Is One,2012,3.0,6.2
29879,I Am Twenty,1965,5.0,6.4
29880,Cold Summer of 1953,1988,9.0,6.5
29881,Kokoko,2012,3.0,2.5
29882,The Ransom of Red Chief,1998,4.0,4.0
29883,Monsters: Dark Continent,2014,104.0,4.2
29884,Reminiscence,2014,7.0,3.8
29885,Teacher of the Year,2015,20.0,5.7
29886,The Happening,1967,3.0,6.5
29887,Eyeborgs,2009,26.0,4.9
29888,The Mountain Road,1960,1.0,7.0
29889,Away and Back,2015,18.0,5.4
29890,Andaz Apna Apna,1994,51.0,7.6
29891,Hera Pheri,2000,39.0,6.4
29892,The Lobster,2015,1340.0,6.7
29893,Beautiful & Twisted,2015,32.0,5.6
29894,"Abar, the First Black Superman",1977,1.0,4.5
29895,The Farewell Party,2014,16.0,6.0
29896,Güeros,2015,36.0,7.7
29897,Maggie,2015,604.0,5.2
29898,"Ilsa, the Tigress of Siberia",1977,18.0,4.1
29899,The Bamboo House of Dolls,1973,4.0,4.8
29900,The Designated Victim,1971,3.0,4.8
29901,Thunderstruck,2004,1.0,7.0
29902,Hot Pursuit,2015,659.0,5.4
29903,Permissive,1970,1.0,5.0
29904,Slow West,2015,371.0,6.6
29905,Offline,2012,3.0,6.3
29906,Scintilla,2014,21.0,4.7
29907,Meet the Mormons,2014,4.0,5.8
29908,The Mad,2007,19.0,5.8
29909,Malarek,1988,0.0,0.0
29910,The Mars Underground,2007,5.0,7.1
29911,Martial Law,1991,8.0,5.7
29912,Me and the Kid,1993,0.0,0.0
29913,Midgets Vs. Mascots,2009,4.0,5.5
29914,The Midnight Hour,1985,11.0,5.7
29915,The Human Centipede 3 (Final Sequence),2015,159.0,3.7
29916,Mikey,1992,11.0,5.2
29917,Mistrial,1996,1.0,5.5
29918,Model by Day,1993,1.0,4.5
29919,The Green Inferno,2014,359.0,5.0
29920,Just About Famous,2015,2.0,6.0
29921,Alien Origin,2012,9.0,1.6
29922,The Bear,1984,1.0,6.0
29923,Lolly-Madonna XXX,1973,1.0,7.0
29924,Rita da Cascia,2004,1.0,7.0
29925,In the Shadow of the Sun,2012,1.0,5.0
