,title,crew,return,release_date,release_year,budget,revenue
16688,Skippy,['Norman Taurog'],0.0,1931-04-25,1931,0,0.0
16689,Allegheny Uprising,['William A. Seiter'],0.0,1939-11-10,1939,0,0.0
16690,All the Brothers Were Valiant,['Richard Thorpe'],0.0,1953-11-13,1953,0,0.0
16691,Ulysses,['Joseph Strick'],0.0,1967-03-14,1967,0,0.0
16692,The Misadventures of Margaret,['Brian Skeet'],0.0,1998-12-23,1998,5,0.0
16693,Elizabeth I,['Tom Hooper'],0.0,2005-09-29,2005,0,0.0
16694,Pepe,['George Sidney'],0.0,1960-12-21,1960,0,0.0
16695,When Ladies Meet,['Robert Z. Leonard'],0.0,1941-08-29,1941,0,0.0
16696,Lloyd's of London,['Henry King'],0.0,1936-11-29,1936,0,0.0
16697,Libel,['Anthony Asquith'],0.0,1959-10-23,1959,0,0.0
16698,My Foolish Heart,['Mark Robson'],0.0,1950-01-21,1950,0,0.0
16699,The Luck of the Irish,['Henry Koster'],0.0,1948-09-15,1948,0,0.0
16700,Trader Horn,['W.S. Van Dyke'],0.0,1931-05-23,1931,0,0.0
16701,They Gave Him a Gun,['W.S. Van Dyke'],0.0,1937-05-07,1937,0,0.0
16702,Rage in Heaven,['W.S. Van Dyke'],0.0,1941-03-07,1941,0,0.0
16703,Burke & Hare,['John Landis'],0.43,2010-10-29,2010,10000000,4349187.0
16704,Hands of the Ripper,['Peter Sasdy'],0.0,1971-10-17,1971,0,0.0
16705,Castaway on the Moon,['Lee Hae-Jun'],0.0,2009-05-14,2009,0,0.0
16706,Army of Crime,['Robert Guédiguian'],0.0,2009-05-17,2009,10000000,0.0
16707,Vanishing on 7th Street,['Brad Anderson'],0.11,2010-09-11,2010,10000000,1068682.0
16708,Old Man Made in Spain,['Pedro Lazaga'],0.0,1969-03-17,1969,0,0.0
16709,Tuareg: Desert Warrior,['Enzo G. Castellari'],0.0,1984-03-12,1984,0,0.0
16710,Slaughter,['Stewart Hopewell'],0.0,2009-01-09,2009,0,0.0
16711,Open House,['Andrew Paquin'],0.0,2010-08-03,2010,0,0.0
16712,Werewolves on Wheels,['Michel Levesque'],0.0,1971-11-19,1971,0,0.0
16713,Fantasma,['Lisandro Alonso'],0.0,2006-03-23,2006,0,0.0
16714,Glitterbug,['Derek Jarman'],0.0,1994-03-05,1994,0,0.0
16715,Client 9: The Rise and Fall of Eliot Spitzer,['Alex Gibney'],0.0,2010-11-05,2010,0,0.0
16716,Paul,['Greg Mottola'],2.44,2011-02-14,2011,40000000,97552050.0
16717,Submarino,['Thomas Vinterberg'],0.0,2010-09-01,2010,0,0.0
16718,All the Colors of the Dark,['Sergio Martino'],0.0,1972-02-28,1972,0,0.0
16719,Bellamy,['Claude Chabrol'],0.0,2009-02-25,2009,0,0.0
16720,The Notorious Landlady,['Richard Quine'],0.0,1962-04-01,1962,0,0.0
16721,Szamanka,['Andrzej Żuławski'],0.0,1996-05-10,1996,0,0.0
16722,What Is It?,['Crispin Glover'],0.0,2005-01-27,2005,0,0.0
16723,Eight Diagram Pole Fighter,['Liu Chia-Liang'],0.0,1984-02-17,1984,0,0.0
16724,The Asphyx,['Peter Newbrook'],0.0,1972-12-05,1972,0,0.0
16725,Milk,['Semih Kaplanoğlu'],0.0,2008-09-01,2008,0,0.0
16726,Midnight Movies: From the Margin to the Mainstream,['Stuart Samuels'],0.0,2006-06-20,2006,0,0.0
16727,Hideaway (Le refuge),['François Ozon'],0.0,2009-09-19,2009,0,0.0
16728,Three Crowns of the Sailor,['Raúl Ruiz'],0.0,1983-10-05,1983,0,0.0
16729,Don Quixote,"['Orson Welles', 'Jesús Franco']",0.0,1992-01-01,1992,0,0.0
16730,Three Kingdoms: Resurrection of the Dragon,['Daniel Lee'],0.0,2008-04-03,2008,0,0.0
16731,The Spiders - The Diamond Ship,['Fritz Lang'],0.0,1920-02-02,1920,0,0.0
16732,Harakiri,['Fritz Lang'],0.0,1919-12-18,1919,0,0.0
16733,Brother 2,['Aleksey Balabanov'],0.0,2000-01-01,2000,1500000,0.0
16734,Emma,"[""Jim O'Hanlon""]",0.0,2009-10-11,2009,0,0.0
16735,Judith of Bethulia,['D.W. Griffith'],0.0,1914-03-08,1914,0,0.0
16736,Desert Flower,['Sherry Hormann'],0.0,2009-09-24,2009,0,14631377.0
16737,Adrift in Tokyo,['Satoshi Miki'],0.0,2007-11-10,2007,0,0.0
16738,The Cold Light of Day,['Rudolf van den Berg'],0.0,1996-08-20,1996,0,0.0
16739,Spider Lilies,['Zero Chou'],0.0,2007-03-30,2007,0,0.0
16740,On Earth as It Is in Heaven,['José Luis Cuerda'],0.0,1995-11-03,1995,0,0.0
16741,In the Midst of Life,['Robert Enrico'],0.0,1963-10-08,1963,0,0.0
16742,At Long Last Love,['Peter Bogdanovich'],0.25,1975-03-01,1975,6000000,1500000.0
16743,Bungee Jumping of Their Own,['Kim Dae-seung'],0.0,2001-02-03,2001,0,0.0
16744,The Infidel,['Josh Appignanesi'],0.0,2009-09-16,2009,0,0.0
16745,The Punch Bowl,['Helmut Weiss'],0.0,1944-01-28,1944,0,0.0
16746,The Heart Elsewhere,['Pupi Avati'],0.0,2003-01-24,2003,0,0.0
16747,Run of the Arrow,['Samuel Fuller'],0.0,1957-09-05,1957,0,0.0
16748,Drive Angry,['Patrick Lussier'],0.58,2011-02-24,2011,50000000,28931401.0
16749,Rango,['Gore Verbinski'],1.82,2011-03-02,2011,135000000,245724603.0
16750,Thunder Bay,['Anthony Mann'],0.0,1953-05-21,1953,0,0.0
16751,Take Me Home Tonight,['Michael Dowse'],0.36,2011-03-04,2011,19000000,6928068.0
16752,Confessions,['Tetsuya Nakashima'],0.0,2010-06-04,2010,0,0.0
16753,The Adjustment Bureau,['George Nolfi'],2.55,2011-03-03,2011,50200000,127869379.0
16754,The Tempest,['Jack Bender'],0.0,1998-12-13,1998,0,0.0
16755,Tycoon,['Richard Wallace'],0.0,1947-12-27,1947,0,0.0
16756,Journey for Margaret,['W.S. Van Dyke'],0.0,1942-12-17,1942,0,0.0
16757,God on Trial,['Andy de Emmony'],0.0,2008-09-03,2008,0,0.0
16758,Chronicle of the Years of Fire,['Mohammed Lakhdar-Hamina'],0.0,1975-11-26,1975,0,0.0
16759,The Long Absence,['Henri Colpi'],0.0,1961-05-17,1961,0,0.0
16760,Lapland Odyssey,['Dome Karukoski'],0.0,2010-10-15,2010,0,0.0
16761,Edge of Darkness,['Lewis Milestone'],0.0,1943-01-01,1943,0,0.0
16762,The Magus,['Guy Green'],0.0,1968-12-10,1968,0,0.0
16763,Elvis on Tour,"['Pierre Adidge', 'Robert Abel']",0.0,1972-01-01,1972,0,0.0
16764,Italianamerican,['Martin Scorsese'],0.0,1974-01-01,1974,0,0.0
16765,Presumed Guilty,"['Roberto Hernández', 'Geoffrey Smith']",0.0,2008-11-21,2008,0,0.0
16766,Happythankyoumoreplease,['Josh Radnor'],0.0,2010-01-20,2010,0,215576.0
16767,Background to Danger,['Raoul Walsh'],0.0,1943-07-03,1943,0,0.0
16768,The Given Word,['Anselmo Duarte'],0.0,1962-04-17,1962,0,0.0
16769,Autumn Leaves,['Robert Aldrich'],0.0,1956-08-01,1956,0,0.0
16770,Cropsey,"['Joshua Zeman', 'Barbara Brancaccio']",0.0,2010-04-29,2010,0,35456.0
16771,The Mechanic,['Simon West'],1.28,2011-01-13,2011,40000000,51070807.0
16772,Hall Pass,"['Bobby Farrelly', 'Peter Farrelly']",2.31,2011-02-25,2011,36000000,83160734.0
16773,The Eagle,['Kevin Macdonald'],1.08,2011-02-08,2011,25000000,27122040.0
16774,I Am Number Four,['D.J. Caruso'],2.89,2011-02-18,2011,50000000,144492830.0
16775,The Wild and Wonderful Whites of West Virginia,['Julien Nitzberg'],0.0,2009-04-01,2009,0,0.0
16776,The Assassin Next Door,['Danny Lerner'],0.0,2009-04-15,2009,3000000,0.0
16777,Lakota Woman: Siege at Wounded Knee,['Frank Pierson'],0.0,1994-10-16,1994,0,0.0
16778,71: Into the Fire,['John H. Lee'],2.02,2010-06-16,2010,10400000,20967660.0
16779,Battle: Los Angeles,['Jonathan Liebesman'],2.89,2011-03-08,2011,70000000,202466756.0
16780,Night of the Eagle,['Sidney Hayers'],0.0,1962-04-25,1962,0,0.0
16781,Adam Had Four Sons,['Gregory Ratoff'],0.0,1941-03-27,1941,0,0.0
16782,Liliom,['Fritz Lang'],0.0,1934-05-15,1934,0,0.0
16783,Dollars,['Richard Brooks'],0.0,1971-12-17,1971,0,0.0
16784,Summer Wars,['Mamoru Hosoda'],0.0,2009-08-01,2009,0,80768.0
16785,Pooh's Grand Adventure: The Search for Christopher Robin,['Karl Geurs'],0.0,1997-08-05,1997,0,0.0
16786,Corto Maltese: Under the Sign of Capricorn,"['Richard Danto', 'Liam Saury']",0.0,2002-01-01,2002,0,0.0
16787,Corto Maltese: La maison dorée de Samarkand,"['Richard Danto', 'Liam Saury']",0.0,2004-01-01,2004,0,0.0
16788,Public Speaking,['Martin Scorsese'],0.0,2010-11-22,2010,0,0.0
16789,Liliom,['Frank Borzage'],0.0,1930-10-05,1930,0,0.0
16790,The Merry Widow,['Erich von Stroheim'],0.0,1925-08-26,1925,592,1.0
16791,Rasen,['George Iida'],0.0,1998-01-31,1998,2900000,0.0
16792,Norwegian Wood,['Tran Anh Hung'],0.0,2010-12-11,2010,0,17636261.0
16793,The Sunset Limited,['Tommy Lee Jones'],0.0,2011-02-12,2011,0,0.0
16794,Ninja Cheerleaders,['David Presley'],0.0,2008-05-10,2008,0,0.0
16795,Janky Promoters,['Marcus Raboy'],0.0,2009-10-16,2009,10000000,9069.0
16796,Twenty-Four Eyes,['Keisuke Kinoshita'],0.0,1954-09-15,1954,0,0.0
16797,Winnie the Pooh and the Honey Tree,['Wolfgang Reitherman'],0.0,1966-01-01,1966,0,0.0
16798,Mars Needs Moms,['Simon Wells'],0.26,2011-03-09,2011,150000000,38992758.0
16799,Scooby-Doo! The Mystery Begins,['Brian Levant'],0.0,2009-09-12,2009,0,0.0
16800,Twisted Nerve,['Roy Boulting'],0.0,1968-10-15,1968,0,0.0
16801,Crude,['Joe Berlinger'],0.0,2009-09-09,2009,0,0.0
16802,Uncounted,['David Earnhardt'],0.0,2008-01-01,2008,0,0.0
16803,The City of Your Final Destination,['James Ivory'],0.0,2009-03-21,2009,0,0.0
16804,Anna Magdalena,['Yee Chung-Man'],0.0,1998-05-28,1998,0,0.0
16805,Fubar II,['Michael Dowse'],0.0,2010-10-01,2010,0,0.0
16806,The Bannen Way,['Jesse Warren'],0.0,2010-01-06,2010,0,0.0
16807,Scooby-Doo! Curse of the Lake Monster,['Brian Levant'],0.0,2010-10-15,2010,0,0.0
16808,Black Lightning,"['Dmitriy Kiselev', 'Aleksandr Voytinskiy']",1.43,2009-12-31,2009,15000000,21500000.0
16809,Holy Rollers,['Kevin Asch'],0.0,2010-05-21,2010,0,0.0
16810,Medicine for Melancholy,['Barry Jenkins'],0.0,2008-03-07,2008,13000,0.0
16811,Summer Holiday,['Rouben Mamoulian'],0.0,1948-04-15,1948,0,0.0
16812,The House of Small Cubes,['Kunio Katō'],0.0,2008-07-08,2008,0,0.0
16813,Winnie the Pooh and Tigger Too,['John Lounsbery'],0.0,1974-09-20,1974,0,0.0
16814,The Money Order,['Ousmane Sembene'],0.0,1968-11-27,1968,0,0.0
16815,In The City,['Cesc Gay'],0.0,2003-11-07,2003,0,0.0
16816,The Country Teacher,['Bohdan Sláma'],0.0,2008-03-20,2008,0,0.0
16817,Trapped Ashes,"['Joe Dante', 'Monte Hellman', 'Ken Russell', 'Sean S. Cunningham', 'John Gaeta']",0.0,2006-09-12,2006,0,0.0
16818,She and Her Cat: Their Standing Points,['Makoto Shinkai'],0.0,1999-01-01,1999,0,0.0
16819,Closing the Ring,['Richard Attenborough'],0.0,2007-09-14,2007,23000000,0.0
16820,Hard Ticket to Hawaii,['Andy Sidaris'],0.0,1987-03-01,1987,0,0.0
16821,Elite Squad: The Enemy Within,['José Padilha'],0.0,2010-10-08,2010,0,63027681.0
16822,Melissa P.,['Luca Guadagnino'],0.0,2005-11-18,2005,0,5151936.0
16823,Mesrine: Public Enemy #1,['Jean-François Richet'],0.0,2008-11-19,2008,80000000,0.0
16824,The Last Lovecraft: Relic of Cthulhu,['Henry Saine'],0.0,2009-10-03,2009,0,0.0
16825,Cthulhu,['Dan Gildark'],0.0,2007-03-31,2007,0,0.0
16826,Herb & Dorothy,['Megumi Sasaki'],0.0,2009-06-05,2009,0,0.0
16827,The Wildest Dream,['Anthony Geffen'],0.0,2010-08-06,2010,0,0.0
16828,Just Go with It,['Dennis Dugan'],2.69,2011-02-10,2011,80000000,214918407.0
16829,For Love of Ivy,['Daniel Mann'],0.0,1968-07-17,1968,0,0.0
16830,Trophy Wife,['François Ozon'],0.0,2010-11-10,2010,0,1611000.0
16831,Emma,['Clarence Brown'],0.0,1932-01-02,1932,0,0.0
16832,Mother Carey's Chickens,['Rowland V. Lee'],0.0,1938-07-29,1938,0,0.0
16833,Chang: A Drama of the Wilderness,"['Merian C. Cooper', 'Ernest B. Schoedsack']",0.0,1927-09-03,1927,0,0.0
16834,Mannequin,['Frank Borzage'],0.0,1937-12-14,1937,0,0.0
16835,Just Buried,['Chaz Thorne'],0.0,2007-09-09,2007,0,0.0
16836,Cave of Forgotten Dreams,['Werner Herzog'],0.0,2010-09-10,2010,0,6467348.0
16837,Red Riding Hood,['Catherine Hardwicke'],2.12,2011-03-11,2011,42000000,89162162.0
16838,"Big Mommas: Like Father, Like Son",['John Whitesell'],2.61,2011-02-16,2011,32000000,83615414.0
16839,Super,['James Gunn'],0.13,2010-09-09,2010,2500000,324138.0
16840,A Little Night Music,['Harold Prince'],0.0,1977-12-01,1977,0,0.0
16841,Täällä Pohjantähden alla II,['Timo Koivusalo'],0.0,2010-09-24,2010,0,0.0
16842,Troll Hunter,['André Øvredal'],1.19,2010-10-29,2010,3500000,4159678.0
16843,Source Code,['Duncan Jones'],4.6,2011-03-30,2011,32000000,147332697.0
16844,Jane Eyre,['Cary Fukunaga'],0.0,2011-03-11,2011,0,34710627.0
16845,Smilin' Through,['Sidney Franklin'],0.0,1932-09-24,1932,0,0.0
16846,My Beautiful Dacia,[],0.0,2009-01-01,2009,0,0.0
16847,Casanova Brown,['Sam Wood'],0.0,1944-08-23,1944,0,0.0
16848,Kind Lady,['John Sturges'],0.0,1951-06-20,1951,0,0.0
16849,Wild Is the Wind,['George Cukor'],0.0,1957-12-11,1957,0,0.0
16850,X-Games The Movie,[],0.0,2009-08-21,2009,0,0.0
16851,Sucker Punch,['Zack Snyder'],1.1,2011-03-24,2011,82000000,89792502.0
16852,DeVour,['David Winkler'],0.0,2005-05-31,2005,0,0.0
16853,Putty Hill,['Matthew Porterfield'],0.0,2010-02-18,2010,0,48132.0
16854,That Evening Sun,['Scott Teems'],0.0,2009-11-06,2009,0,0.0
16855,Essential Killing,['Jerzy Skolimowski'],0.0,2010-09-06,2010,3167000,0.0
16856,Map of the Sounds of Tokyo,['Isabel Coixet'],0.0,2009-12-02,2009,0,0.0
16857,Bye Bye Brasil,['Carlos Diegues'],0.0,1980-02-08,1980,0,0.0
16858,"Hugh Hefner: Playboy, Activist and Rebel",['Brigitte Berman'],0.0,2009-01-01,2009,0,21878.0
16859,The Mourning Forest,['Naomi Kawase'],0.0,2007-05-24,2007,0,0.0
16860,Journey to the Sun,['Yeşim Ustaoğlu'],0.0,1999-02-16,1999,0,0.0
16861,The Kings of Mykonos,['Peter Andrikidis'],0.0,2010-05-20,2010,0,0.0
16862,Chalet Girl,['Phil Traill'],0.22,2011-02-02,2011,8000000,1749457.0
16863,Der letzte schöne Herbsttag,['Ralf Westhoff'],0.0,2010-11-11,2010,0,0.0
16864,La suerte está echada,['Sebastián Borensztein'],0.0,2005-08-11,2005,0,0.0
16865,The New Daughter,['Luis Berdejo'],0.0,2009-12-18,2009,0,0.0
16866,Black Bread,['Agustí Villaronga'],0.63,2010-10-10,2010,6000000,3770657.0
16867,Alibi,['Roland West'],0.0,1929-04-20,1929,0,0.0
16868,Winnie the Pooh and a Day for Eeyore,['Rick Reinert'],0.0,1983-01-01,1983,0,12000000.0
16869,The Good Shepherd,['Lewin Webb'],0.0,2004-03-21,2004,0,0.0
16870,Eden,['Michael Hofmann'],0.0,2006-11-02,2006,0,0.0
16871,Games,['Curtis Harrington'],0.0,1967-09-17,1967,0,0.0
16872,Noah's Ark,['Michael Curtiz'],0.0,1928-11-01,1928,0,0.0
16873,Beyond the Front Line,['Åke Lindman'],0.0,2004-03-05,2004,0,0.0
16874,Goldene Zeiten,['Peter Thorwarth'],0.0,2006-06-26,2006,0,0.0
16875,Connected,['Benny Chan'],0.0,2008-09-25,2008,5750000,0.0
16876,Breathing Room,"['Gabriel Cowan', 'John Suits']",0.0,2008-08-25,2008,0,0.0
16877,Otaku,"['Jean-Jacques Beineix', 'Jackie Bastide']",0.0,1994-12-01,1994,0,0.0
16878,Reconstruction,['Theo Angelopoulos'],0.0,1970-08-31,1970,0,0.0
16879,Diamond Girl,['Timothy Bond'],0.0,1998-07-25,1998,0,0.0
16880,The Second Civil War,['Joe Dante'],0.0,1997-03-15,1997,0,0.0
16881,Don't You Forget About Me,['Matt Austin'],0.0,2010-07-13,2010,0,0.0
16882,BURN·E,['Angus MacLane'],0.0,2008-11-17,2008,0,0.0
16883,Twilight of a Woman's Soul,['Yevgeni Bauer'],0.0,1913-11-26,1913,0,0.0
16884,The Dying Swan,['Yevgeni Bauer'],0.0,1917-01-17,1917,0,0.0
16885,Ingrid,['Eduard Cortés'],0.0,2010-04-30,2010,0,0.0
16886,Sube y baja,['Miguel M. Delgado'],0.0,1959-01-01,1959,0,0.0
16887,Beneath Hill 60,['Jeremy Sims'],0.0,2010-04-15,2010,7347125,0.0
16888,Formosa Betrayed,['Adam Kane'],0.0,2010-02-26,2010,0,0.0
16889,What No One Knows,['Søren Kragh-Jacobsen'],0.0,2008-02-11,2008,0,0.0
16890,Senna,['Asif Kapadia'],0.0,2010-10-07,2010,0,8212430.0
16891,Death Note: The Last Name,['Shusuke Kaneko'],0.0,2006-10-28,2006,0,50710400.0
16892,Kapitalism: Our Improved Formula,['Alexandru Solomon'],0.0,2010-04-23,2010,0,0.0
16893,Insidious,['James Wan'],64.67,2010-09-13,2010,1500000,97009150.0
16894,Meek's Cutoff,['Kelly Reichardt'],0.0,2010-09-05,2010,0,876302.0
16895,"Arise, My Love",['Mitchell Leisen'],0.0,1940-11-08,1940,0,0.0
16896,The Green Years,['Victor Saville'],0.0,1946-07-04,1946,0,0.0
16897,Hobo with a Shotgun,['Jason Eisener'],0.25,2011-05-06,2011,3000000,748453.0
16898,The Criminal Code,['Howard Hawks'],0.0,1931-01-03,1931,0,0.0
16899,Night People,['Nunnally Johnson'],0.0,1954-03-11,1954,0,0.0
16900,L: Change the World,['Hideo Nakata'],0.0,2008-01-31,2008,0,30231200.0
16901,Win Win,['Tom McCarthy'],0.98,2011-03-18,2011,10831173,10654385.0
16902,The Jericho Mile,['Michael Mann'],0.0,1979-03-01,1979,0,0.0
16903,Room in Rome,['Julio Médem'],0.0,2010-05-07,2010,0,0.0
16904,Stand by for Action,['Robert Z. Leonard'],0.0,1942-12-31,1942,0,0.0
16905,Wild Rovers,['Blake Edwards'],0.0,1971-06-23,1971,0,0.0
16906,The Way to the Stars,['Anthony Asquith'],0.0,1945-06-16,1945,0,0.0
16907,Tribute to a Bad Man,['Robert Wise'],0.0,1956-03-30,1956,0,0.0
16908,The Time That Remains,['Elia Suleiman'],0.12,2009-08-12,2009,6500000,753808.0
16909,The Swimsuit Issue,['Måns Herngren'],0.0,2008-12-25,2008,0,0.0
16910,Eila,['Jarmo Lampela'],0.0,2003-03-14,2003,0,0.0
16911,Happy Here and Now,['Michael Almereyda'],0.0,2002-06-08,2002,0,0.0
16912,Bye Bye Braverman,['Sidney Lumet'],0.0,1968-02-21,1968,0,0.0
16913,Artois the Goat,[],0.0,2009-09-01,2009,50000,0.0
16914,River of Grass,['Kelly Reichardt'],0.0,1995-08-04,1995,0,0.0
16915,Dead Space: Downfall,['Chuck Patton'],0.0,2008-10-27,2008,0,0.0
16916,Sex Galaxy,['Mike Davis'],0.0,2008-08-22,2008,0,0.0
16917,Skeleton Man,['Johnny Martin'],0.0,2004-03-01,2004,0,0.0
16918,Boy,['Taika Waititi'],14.33,2010-02-14,2010,3,43.0
16919,The Necessities of Life,['Benoît Pilon'],0.0,2008-08-25,2008,0,0.0
16920,Diary of a Wimpy Kid: Rodrick Rules,['David Bowers'],3.45,2011-03-25,2011,21000000,72417394.0
16921,Female Vampire,['Jesús Franco'],0.0,1975-01-24,1975,0,0.0
16922,Henry's Crime,['Malcolm Venville'],0.02,2010-01-14,2010,12000000,204940.0
16923,Flodder Does Manhattan!,['Dick Maas'],0.0,1992-06-03,1992,0,0.0
16924,Milk Brothers,[],0.0,1976-02-01,1976,0,0.0
16925,The Chaos Class,['Ertem Eğilmez'],0.0,1975-04-01,1975,0,0.0
16926,Hop,['Tim Hill'],2.92,2011-03-30,2011,63000000,183953723.0
16927,A Question of Silence,['Marleen Gorris'],0.0,1982-02-18,1982,0,0.0
16928,Delta,['Kornél Mundruczó'],0.0,2008-09-11,2008,1500000,0.0
16929,Playing the Victim,['Kirill Serebrennikov'],0.0,2006-06-08,2006,0,0.0
16930,Films to Keep You Awake: The Christmas Tale,['Paco Plaza'],0.0,2005-12-25,2005,0,0.0
16931,And Along Come Tourists,['Robert Thalheim'],0.0,2007-05-21,2007,0,0.0
16932,Film Ist.,['Gustav Deutsch'],0.0,1998-01-01,1998,0,0.0
16933,Conflagration,['Kon Ichikawa'],0.0,1958-09-22,1958,0,0.0
16934,Ana and the Others,['Celina Murga'],0.0,2003-04-21,2003,0,0.0
16935,Hababam Sınıfı Uyanıyor,['Ertem Eğilmez'],0.0,1976-01-01,1976,0,0.0
16936,Berta's Motives,['José Luis Guerin'],0.0,1984-09-01,1984,0,0.0
16937,Hababam Sınıfı Tatilde,['Ertem Eğilmez'],0.0,1977-01-01,1977,0,0.0
16938,The Girl with the Red Scarf,['Atıf Yılmaz'],0.0,1978-01-01,1978,0,0.0
16939,The Nutcracker,['Emile Ardolino'],0.11,1993-11-24,1993,19000000,2119994.0
16940,24 City,['Jia Zhangke'],0.0,2008-09-27,2008,0,0.0
16941,The Arbor,['Clio Barnard'],0.0,2010-10-22,2010,0,21268.0
16942,Leap Year,['Michael Rowe'],0.0,2010-05-17,2010,0,0.0
16943,The Traveler,['Abbas Kiarostami'],0.0,1974-01-01,1974,0,0.0
16944,13 Assassins,['Takashi Miike'],2.93,2010-09-09,2010,6000000,17555141.0
16945,On Tour,['Mathieu Amalric'],0.0,2010-06-30,2010,0,0.0
16946,Life Is Hot in Cracktown,['Buddy Giovinazzo'],0.0,2009-01-01,2009,0,0.0
16947,Koko: A Talking Gorilla,['Barbet Schroeder'],0.0,1978-10-01,1978,0,0.0
16948,Captive,['Matt Dorff'],0.0,1998-01-01,1998,0,0.0
16949,Love that Boy,['Andrea Dorfman'],0.0,2003-09-01,2003,0,0.0
16950,Crisis,['Ingmar Bergman'],0.0,1946-02-25,1946,0,0.0
16951,Port of Call,['Ingmar Bergman'],0.0,1948-10-11,1948,0,0.0
16952,Harry And Max,['Christopher Munch'],0.0,2004-01-01,2004,0,0.0
16953,White Hell of Pitz Palu,"['G.W. Pabst', 'Arnold Fanck']",0.0,1929-10-10,1929,0,0.0
16954,Late Chrysanthemums,['Mikio Naruse'],0.0,1954-06-15,1954,0,0.0
16955,Hanna,['Joe Wright'],2.13,2011-04-07,2011,30000000,63782078.0
16956,They Made Me a Fugitive,['Alberto Cavalcanti'],0.0,1947-06-24,1947,0,0.0
16957,Dark City,['William Dieterle'],0.0,1950-10-17,1950,0,0.0
16958,St. George Shoots the Dragon,['Srđan Dragojević'],0.0,2009-03-11,2009,5000000,0.0
16959,Castle of Purity,['Arturo Ripstein'],0.0,1973-05-10,1973,0,0.0
16960,Warrendale,['Allan King'],0.0,1967-01-01,1967,0,0.0
16961,New Kids Turbo,"['Steffen Haars', 'Flip van der Kuil']",5.86,2010-12-09,2010,1500000,8786756.0
16962,Reykjavik Whale Watching Massacre,['Júlíus Kemp'],0.0,2009-09-04,2009,4000000,0.0
16963,Easy Money,['Daniel Espinosa'],0.0,2010-01-15,2010,0,0.0
16964,To Joy,['Ingmar Bergman'],0.0,1950-02-20,1950,0,0.0
16965,Grown Up Movie Star,['Adriana Maggs'],0.0,2009-10-20,2009,0,0.0
16966,Beyond,['Pernilla August'],1.6,2010-12-10,2010,3000000,4800080.0
16967,Into Eternity,['Michael Madsen'],0.0,2010-11-12,2010,900000,0.0
16968,Daffy Duck's Quackbusters,"['Chuck Jones', 'Robert McKimson', 'Greg Ford', 'Terry Lennon', 'Friz Freleng']",0.0,1988-09-24,1988,0,0.0
16969,American: The Bill Hicks Story,"['Matt Harlock', 'Paul Thomas']",0.0,2010-04-10,2010,0,90275.0
16970,Arthur,['Jason Winer'],1.14,2011-04-08,2011,40000000,45735397.0
16971,Scream 4,['Wes Craven'],2.43,2011-04-11,2011,40000000,97138686.0
16972,Rio,['Carlos Saldanha'],5.38,2011-04-03,2011,90000000,484635760.0
16973,The Princess of Montpensier,['Bertrand Tavernier'],0.46,2010-11-03,2010,14734000,6775121.0
16974,Dear Heart,['Delbert Mann'],0.0,1964-12-02,1964,0,0.0
16975,The Mudlark,['Jean Negulesco'],0.0,1950-11-28,1950,0,0.0
16976,The Mouse on the Moon,['Richard Lester'],0.0,1963-05-07,1963,0,0.0
16977,The Happy Time,['Richard Fleischer'],0.0,1952-10-30,1952,0,0.0
16978,Gold Diggers of 1937,"['Lloyd Bacon', 'Busby Berkeley']",0.0,1936-12-28,1936,0,0.0
16979,The Goddess,['John Cromwell'],0.0,1958-06-24,1958,0,0.0
16980,Melancholia,['Lars von Trier'],2.95,2011-05-26,2011,7400000,21817298.0
16981,Forever Strong,['Ryan Little'],0.0,2008-09-26,2008,0,0.0
16982,Thor,['Kenneth Branagh'],3.0,2011-04-21,2011,150000000,449326618.0
16983,War of the Wildcats,['Albert S. Rogell'],0.0,1943-12-06,1943,0,0.0
16984,Jolson Sings Again,['Henry Levin'],0.0,1949-08-17,1949,0,0.0
16985,Spooner,['Drake Doremus'],0.0,2009-01-18,2009,0,0.0
16986,Louis C.K.: Hilarious,['Louis C.K.'],0.0,2010-01-26,2010,0,0.0
16987,Louis C.K.: Chewed Up,"['Louis C.K.', 'Shannon Hartman']",0.0,2008-10-01,2008,0,0.0
16988,Atlas Shrugged Part I,['Paul Johansson'],0.31,2011-04-14,2011,15000000,4627375.0
16989,Confessions of a Nazi Spy,['Anatole Litvak'],0.0,1939-05-06,1939,0,0.0
16990,The Journey,['Anatole Litvak'],0.0,1959-02-19,1959,0,0.0
16991,Louis C.K.: Shameless,['Steven J. Santos'],0.0,2007-01-12,2007,0,0.0
16992,Pushover,['Richard Quine'],0.0,1954-08-06,1954,0,0.0
16993,Saint Jack,['Peter Bogdanovich'],0.0,1979-12-05,1979,0,0.0
16994,Movie Days,['Friðrik Þór Friðriksson'],0.0,1994-06-30,1994,0,0.0
16995,Children of Nature,['Friðrik Þór Friðriksson'],0.0,1991-08-01,1991,0,0.0
16996,Spring Breakdown,['Ryan Shiraki'],0.0,2009-05-22,2009,12300000,0.0
16997,Welcome to the South,['Luca Miniero'],16.4,2010-10-01,2010,4000000,65584679.0
16998,The Resident,['Antti Jokinen'],0.0,2011-02-10,2011,20000000,0.0
16999,That's What I Am,['Michael Pavone'],0.0,2011-04-01,2011,0,0.0
17000,Kobe Doin' Work,['Spike Lee'],0.0,2009-05-16,2009,0,0.0
